nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"SIKA S.A.U","CR FUENCARRAL (DE) 72","28108","POLIGONO INDUSTRIAL","916572375","916621938","info@es.sika.com","www.sika.es","ESTEFANIA MANCHADO","","SECTOR QUIMICO","FABRICACION DE PRODUCTOS QUIMICOS PARA LA CONSTRUCCION Y ADHESIVOS INDUSTRIALES",40.51888227,-3.65470622
"SIMON SAYS SCHOOL OF LANGUAGES","CL ANABEL SEGURA (DE) 11","28100","ARROYO DE LA VEGA","914902308","NO DISPONIBLE","simonsayssol@hotmail.com","NO DISPONIBLE","NO DISPONIBLE","","ACADEMIAS, FORMACION. IDIOMAS. TRADUCCIONES TECNICAS","ESCUELA DE IDIOMAS",40.53329719,-3.62708410
"SIPAY PLUS","CL SAN RAFAEL (DE) 1 - PORTAL 2, 2ºC","28108","POLIGONO INDUSTRIAL","914841028","NO DISPONIBLE","administracion@sipay.es","www.sipay.es","CRISTINA  FERNANDEZ","","INFORMATICA","SOLUCIONES INFORMATICAS DE MEDIOS DE PAGO",40.52428139,-3.65890105
"SIXSERVIX OMEGA","CL GRANJA (DE LA) 15","28108","POLIGONO INDUSTRIAL","916618210","NO DISPONIBLE","soporte.informatico@varna.com","eee.sixservix.com","FERNANDO PELLUS","","INFORMATICA","SERVICIOS INOFRMATICOS",40.52911402,-3.65827511
"SKIDATA","CL GRANJA (DE LA) 30","28108","POLIGONO INDUSTRIAL","902422060","NO DISPONIBLE","info@skidata.es","www.skidata.es","IVAN BLANCO","","INFORMATICA","SOLUCIONES DE ACCESOS DE PERSONAS Y VEHICULOS",40.53131826,-3.65733509
"SMILEVENTS","CR FUENCARRAL (DE) 44 PORTAL 4B, OFICINA 6","28108","POLIGONO INDUSTRIAL","916296066","NO DISPONIBLE","info@smilevents.es","www.smilevents.es","ANTONIO MOYA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","EVENTOS Y CONTENIDOS AUDIOVISUALES",40.51888227,-3.65470622
"SOCIEDAD DE PREVENCION DE FRATERNIDAD MUPRESPA","AV VALDELAPARRA (DE) 27","28100","POLIGONO INDUSTRIAL","913607100-914905421-914841430-650766399","NO DISPONIBLE","acanas@fraterprevencion.com","www.fraterprevencion.com","AUGUSTO CAÑAS","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS DE PREVENCION DE RIESGOS LABORALES",40.53889230,-3.64696818
"SOCIEDAD DE PREVENCIÓN DE IBERMUTUAMUR","AV VALDELAPARRA (DE) 66 LOCAL 1-2","28108","CASCO URBANO","914904108","NO DISPONIBLE","analozano@cualtis.com","www.spibermutuamur.es","ANA LOZANO","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","PREVENCION DE RIESGOS LABORALES",40.54121345,-3.66050131
"SOCIEDAD DE PREVENCION FREMAP, S.L.","CR FUENCARRAL (DE) 3 -KM15,7. LOCAL 3","28108","CASCO URBANO","914903877","914653866","NO DISPONIBLE","www.premap.com","FRANCISCO CANO","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","CENTRO ASISTENCIAL FREMAP (OFICINAS)",40.51888227,-3.65470622
"SOFECOM","CL GRANJA (DE LA) 82","28108","POLIGONO INDUSTRIAL","911844141","915901682","compras@sofecom.com","www.sofecon.com","NO DISPONIBLE","","INFORMATICA","EQUIPOS INFORMATICOS",40.53461370,-3.65673098
"SOFREL LACROIX","CL FRANCISCO GERVAS (DE) 12","28108","POLIGONO INDUSTRIAL","915100800","914167208","s.contreras@sofrel.com","www.lacroix-sofrel.es","SONIA CONTRERAS","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","COMERCIALIZACION EQUIPOS ELECTRICOS PARA EL TELECONTROL DE REDES DE AGUA",40.53295734,-3.65190662
"SOLARWORLD","CL GRANJA (DE LA) 15 - EDIFICIO B - 1º B","28108","POLIGONO INDUSTRIAL","914905599","NO DISPONIBLE","NO DISPONIBLE","www.solarworld.es","ANDREAS  KUPKA","","DISTRIBUCION DE GAS Y ELECTRICIDAD, ENERGIAS ALTERNATIVAS","TECNOLOGÍA SOLAR",40.52911402,-3.65827511
"SOLDACENTRO","AV INDUSTRIA (DE LA) 32 - NAVE 23","28108","POLIGONO INDUSTRIAL","916619159 / 639119725","916614931","info@soldacentro.com","www.soldacentro.com","CARLOS QUIROS","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","COMERCIALIZACION DE PRODUCTOS DE SOLDADURA Y DE TRANSFORMACION METALICA",40.53412153,-3.65245488
"SOL-OX","CL VALGRANDE (DE) 29 - ACCESO E","28108","POLIGONO INDUSTRIAL","916613159","916611336","solox@telefonica.net","NO DISPONIBLE","JOSE MARIA BERMEJO SANCHEZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","REPARACION Y VENTA DE PRODUCTOS DE SOLDADURA Y OXICORTE",40.53898396,-3.65466685
"SOLUTEX G.C.","CR BARAJAS (DE) 24 3º PLANTA","28100","CASCO URBANO","918060477","NO DISPONIBLE","solutex@solutex.info","www.solutex.es","IGNACIO PELAEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICACION DE ACEITES ESENCIALES",40.53457785,-3.62091589
"SOMISAL","AV VALDELAPARRA (DE) 3 - 1ª PLANTA","28108","POLIGONO INDUSTRIAL","916617599","916612391","d.financiera@gruposomisal.com","NO DISPONIBLE","FRANCISCO DOMINGUEZ","","INMOBILIARIAS Y CONSTRUCTORAS","ARRENDADOR BIENES INMUEBLES",40.53737784,-3.64234265
"SPALY-BIOQUIMICA","AV INDUSTRIA (DE LA) 30","28108","POLIGONO INDUSTRIAL","916635000","916233511","santander_jorge@lilly.com","www.lilly.es","ALEJANDRO DE SIMON","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.53425345,-3.65158382
"SPUTNIK CLIMBING CENTER","CL GRANJA (DE LA) 100","28108","POLIGONO INDUSTRIAL","655725267","NO DISPONIBLE","info@sputnikclimbing.com","/www.sputnikclimbing.com/","DANI / FERNANDO","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","CENTRO DE ESCALADA, ESCUELA DE FORMACION, CAFETERIA-RESTAURANTE, FISIOTERAPIA",40.53609958,-3.65676806
"STEELMOOD","CR FUENCARRAL (DE) 44 CAMPUS TRIBECA EDF. 1","28108","POLIGONO INDUSTRIAL","916295791","NO DISPONIBLE","admon@steelmood.com","www.steelmood.com","LUCIA DE GREGORIO","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE PROCESOS",40.51888227,-3.65470622
"STERIS","CL CALENDULA (DE LA) 95 - MINIPARC II","28109","MINI-PARC","916585920","916250115","pilargarcia_oliva@steris.com","www.steris.com","DAVID VARRADO","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIO DE EQUIPAMIENTO HOSPITALARIO",40.52792964,-3.64446628
"STONERIDGE ELECTRONIC","AV DOCTOR SEVERO OCHOA (DEL) 38 - 2º PLANTA","28100","PARQUE EMP. CASABLANCA","916623222","916623226","spain.amsales@stoneridge.com","www.stoneridgeelectronics.info","JORGE ALBERICH","","MAYORISTAS","COMERCIO MAYOR DE ACCESORIOS Y RECAMBIOS DE AUTOMOVILES",40.54091291,-3.65506360
"STRAUMANN","CL ANABEL SEGURA (DE) 16 EDF. VEGA NORTE 3 PLANTA BAJA","28100","ARROYO DE LA VEGA","916308214","913449517","info.es@straumann.com","www.strauman.es","NO DISPONIBLE","","SERVICIOS MEDICOS","IMPLANTES BUCALES. OFICINAS COMERCIALES DE LA EMPRESA",40.53274067,-3.62778864
"STRUCTURALIA","AV VEGA (DE LA) 15 - EDIF. 3 PLANTA 4","28108","ARROYO DE LA VEGA","914904200 / 619218227","914904210","nuria.carrera@structuralia.com","www.structuralia.com","NURIA CARRERA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","SOLUCIONES INTEGRALES DE FORMACION Y GESTION PARA EL SECTOR DE LA CONSTRUCCION Y LAS INFRAESTRUCTURAS. FORMACION",40.52387752,-3.63900178
"STRUERS SUCURSAL ESPAÑA","CL REYES CATOLICOS (DE LOS) 6 NAVE 305","28108","POLIGONO INDUSTRIAL","918274922","NO DISPONIBLE","jose.pradacasas@struers.es","www.struers.es","EMERIC DUVAL","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","EQUIPOS METALOGRAFIA",40.53652585,-3.65212849
"STT","CL ARAGONESES (DE LOS) 2 - ACCESO 1","28108","POLIGONO INDUSTRIAL","915199612","914132229","imarin@sttsa.es","www.sttsa.es","VENANCIO GUILLAMET PUGERNAV","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","PERSONALIZACION Y MANIPULADO TARJETAS PLASTICAS",40.52357421,-3.66093000
"SUAN FARMA","CL EINSTEIN (DE) 8 EDIFICIO","28108","POLIGONO INDUSTRIAL","913446890","NO DISPONIBLE","elisadoncel@suanfarma.com","www.suanfarma.com","ELISA DONCEL MARTOS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","DISTRIBUIDOR DE PRINCIPIOS ACTIVOS FARMACEUTICOS",40.53493858,-3.65383497
"SULLEN TRADE","AV INDUSTRIA (DE LA) 37 PLANTA 2, OFICINA 1","28108","POLIGONO INDUSTRIAL","916611780","NO DISPONIBLE","arturo@sullentrade.com","NO DISPONIBLE","ARTURO BARRIOS","","CONFECCION A MEDIDA, SASTRERIA Y ARREGLOS DE ROPA","FABRICACION PRENDAS DE PIEL",40.53389907,-3.65273873
"SUMMUMM","CL VALPORTILLO II (DE) 3 LOFT 17","28108","POLIGONO INDUSTRIAL","619287044","NO DISPONIBLE","info@summumm.es","www.summumm.es","ALBERTO MASTROMATEO","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","ESCUELA DE COCINA",40.53343097,-3.65581250
"SUN OIL ESPAÑA","CR FUENCARRAL (DE) 78 - KM 14,500","28108","POLIGONO INDUSTRIAL","916610267 / 619491569","916619595","suniso@sunoilespana.com","www.sunoilespana.com","MYRIAM GOMEZ MARTIN","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","COMERCIALIZACION DE LUBRICANTES",40.51888227,-3.65470622
"SUPRA PRODUCCIONES","CR FUENCARRAL (DE) 56 3º PLANTA, OFICINA 115","28108","POLIGONO INDUSTRIAL","622090922","NO DISPONIBLE","produccion.supra@gmail.com","https://supra-producciones.blogspot.com.es/","CARLOS GARCIA","","INFORMATICA","SERVICIOS EXTERNOS DE COMMUNITY MANAGER",40.51888227,-3.65470622
"SURAVE","AV INDUSTRIA (DE LA) 4 EDF. 0, 1º C, ESCALERA 2","28108","POLIGONO INDUSTRIAL","911264111","NO DISPONIBLE","info@surave.com","www.surave.com","MARTA LOPEZ","","AVES, CAZA Y HUEVOS","FABRICACION Y ELABORACION DE PRODUCTOS AVICOLAS",40.53543008,-3.64232167
"SUVECA","CL REYES CATOLICOS (DE LOS) 14","28108","POLIGONO INDUSTRIAL","916621063","NO DISPONIBLE","espiroducto@suveca.es","www.suveca.net","RAMON REVUELTA","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","FABRICACION CONDUCTOS CHAPA",40.53778405,-3.65506852
"SYSTECO","CL GRANJA (DE LA) 36 NAVE","28108","POLIGONO INDUSTRIAL","916612000","916617004","systeco@ono.com","NO DISPONIBLE","FRANCISCO JOSE LUCENA GARRIDO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.53168714,-3.65677194
"T.D.I.","CL JOSE ECHEGARAY (DE) 8 EDIF. B-3. LOCAL 1-3","28100","PARQUE EMP. CASABLANCA","916624473/ 902103578","902102459","ventas@tdi.es","www.tdi.es","JORGE PASTOR SANTOS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","VENTA DE APARATOS DE INVESTIGACION",40.54230509,-3.65435273
"T.F. ARTES GRAFICAS","CL ARAGONESES (DE LOS) 2 - ACCESO 11","28108","POLIGONO INDUSTRIAL","914841870","916610082","info@tfartesgraficas.com","www.tfartesgraficas.com","ESTHER COBO DE GUZMAN","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS E IMPRESION",40.52357421,-3.66093000
"TABLEROS MARTINEZ, C.B.","CL SEPULVEDA (DE) 6","28108","POLIGONO INDUSTRIAL","916616467","916616468","mail@tablerosmartinezcb.e.telefonica.net / tmartinez@aeroflat.es","NO DISPONIBLE","DIEGO MARTINEZ","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","DISTRIBUCION DE MADERAS",40.52674742,-3.65561731
"TAI EDITORIAL","CR FUENCARRAL (DE) - KM. 14,5","28108","POLIGONO INDUSTRIAL","916616102","916612928","correo@taieditorial.es","www.taieditorial.es","LOLI AGUDO","","EDITORIALES","EDITORIAL DE REVISTAS",40.51888227,-3.65470622
"TAI MAO, S.L.","AV VALDELAPARRA (DE) 27 - NAVE 14","28108","POLIGONO INDUSTRIAL","916619622","916613970","maria.martin@iberochina.com","www.iberochina.com","ALFONSO LEE","","MAYORISTAS","IMPORTACION Y EXPORTACION DE ALIMENTOS ORIENTALES",40.53889230,-3.64696818
"TALENTO MOTOR","CL FRANCISCO GERVAS (DE) 1","28108","POLIGONO INDUSTRIAL","916572831","NO DISPONIBLE","alberto@talentomotor.com","NO DISPONIBLE","ALBERTO MAGRO","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","CONCESIONARIO OFICIAL KIA",40.53042958,-3.65080103
"TALENTQUBE","CL RAMON Y CAJAL (DE) 5","28100","CENTRO DE EMPRESAS","635299749","NO DISPONIBLE","montserrat.martinez@talentqube.com","NO DISPONIBLE","MONTSERRAT MARTINEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PUBLICIDAD, COMUNICACIÓN, MARKETING ON-LINE Y OFF-LINE",40.54250148,-3.65225970
"TALK ENGLISH AFRICA","CL CAMINO DE HOYARRASA (DEL) 12","28109","CASCO URBANO","913152944","NO DISPONIBLE","info@talkenglishafrica.com","www.taljenglishafrica.com","LUCIA","","AGENCIAS DE VIAJES","AGENCIA DE VIAJES",40.52805421,-3.62666726
"TALLER CASABLANCA","AV DOCTOR SEVERO OCHOA (DEL) 38 - NAVE 1-5","28100","PARQUE EMP. CASABLANCA","916624340","NO DISPONIBLE","info@neumaticosglobal.com","www.neumaticosglobal.com","DIEGO ALFARO GARCIA PUERTA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE REPARACION DE VEHICULOS Y NEUMATICOS",40.54091291,-3.65506360
"TALLER VIPAL","CL SAN BERNARDO (DE) 10","28108","POLIGONO INDUSTRIAL","916616026","916616026","tallervipal@yahoo.es","www.tallervipal.com/es","GEMA MAYORAL","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION DEL AUTOMOVIL: MECANICA Y ELECTRICIDAD",40.53581963,-3.64634183
"TALLERES HITACAR","CL GRANJA (DE LA) 86 - NAVE 7","28108","POLIGONO INDUSTRIAL","916614000","916614000","tallereshitacar@tallereshitacar.es","www.tallereshitacar.es","ANGEL HITA GARCIA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE REPARACION DE AUTOMOVILES",40.53538748,-3.65671522
"TALLERES MANUEL MONTOYA","CL VALGRANDE (DE) 18","28108","POLIGONO INDUSTRIAL","916572523","916572523","talleresm.montoya@gmail.com","NO DISPONIBLE","MANUEL MONTOYA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE REPARACION DE AUTOMOVILES",40.53905172,-3.65110634
"TALLERES MIGUEL FORNELL","CL SAN BERNARDO (DE) 14","28108","POLIGONO INDUSTRIAL","916611405","916611405","talleresmf@hotmail.com","NO DISPONIBLE","JOSE PEREZ ORDOÑEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE CHAPA Y PINTURA PARA VEHICULOS DE AUTOMOCION",40.53594296,-3.64593661
"TALLERES PAMA","CL VALPORTILLO II (DE) 6","28108","POLIGONO INDUSTRIAL","916624244 /  916615668","916617710","tallerespama.sl@telefonica.net","www.tallerespama.com","FRANCISCO CRUZ PEREZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CARROCERIA",40.53318462,-3.65565272
"TALLERES VITAL CAR MI KAR","AV INDUSTRIA (DE LA) 32 NAVE 7 Y 8","28108","POLIGONO INDUSTRIAL","670537655","NO DISPONIBLE","tallervitalcar@gmail.com","www.tallervitalcar.es","MARIO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CHAPA Y PINTURA",40.53412153,-3.65245488
"TALLERES YOAL, S.L.","CL SANTA ISABEL (DE) 23","28108","POLIGONO INDUSTRIAL","916612882","916612882","talleresyoal@gmail.com","www.talleresyoal.es","BONIFACIO ESTEBAN MONEDERO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION DE AUTOMOVILES",40.53611024,-3.64424626
"TAMEPA, S.A.","CL GUZMAN EL BUENO (DE) 14","28108","POLIGONO INDUSTRIAL","916612875/916619192","916614808","tamepa@tamepasa.com","www.tamepasa.com","ESTHER RUIZ TORRENTE","","PRODUCCION DE PIEZAS DE PRECISION. RODAMIENTOS","MECANICA Y PRODUCCION DE PIEZAS DE PRECISION PARA EL SECTOR FARMACEUTICO, ALIMENTICIO Y AUTOMOCION",40.52925946,-3.65589277
"TAMSCAR - AUDIO","CL JOSE ECHEGARAY (DE) 14 EDIF. 2, NAVE 3-2","28100","PARQUE EMP. CASABLANCA","916638470","NO DISPONIBLE","info@tamscar-audio.es","www.tamscar-audio.es","OSCAR RUIZ MERINO","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","VENTA E INSTALACION DE ACCESORIOS DE AUTOMOVIL Y TINTADO DE LUNAS",40.54240057,-3.65446836
"TAPER SERVICIO TECNICO, S.L.","AV INDUSTRIA (DE LA) 49 -EDIFICIO I, PLANTA 1ª","28108","POLIGONO INDUSTRIAL","916596520","916619350","nsanz@taper.es","NO DISPONIBLE","NURIA SANZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMPRA VENTA DE MATERIAL MEDICO-QUIRURGICO",40.53373291,-3.65465395
"TARGET TECNOLOGIA","CR FUENCARRAL (DE) 24 - EDIF. EUROPA, PORTAL 1, PLANTA 3ª","28108","POLIGONO INDUSTRIAL","915541436","NO DISPONIBLE","info@target-tecnologia.es","www.target-tecnologia.es","NO DISPONIBLE","","SERVICIOS DE SEGURIDAD","EQUIPAMIENTO ELECTRONICO DESTINADO A LA SEGURIDAD (DETECCION DE EXPLOSIVOS, ARMAS Y EQUIPAMIENTO DE USO POLICIAL Y MILITAR.",40.51888227,-3.65470622
"TATA","AV DOCTOR SEVERO OCHOA (DEL) 51 4ªPLANTA","28100","PARQUE EMP. CASABLANCA","916574890 / 916574696","NO DISPONIBLE","macarena.sanz@tatacommunications.com","www.tatacommunications.com","MAYTE / MACARENA SANZ","","INFORMATICA","TELECOMUNICACIONES",40.54041992,-3.65466504
"TAX ECONOMISTAS Y ABOGADOS","CL SAN JOSE ARTESANO (DE) 1 -PORTAL 2 PLANTA 2","28108","POLIGONO INDUSTRIAL","914840476 - 915712861","916617272","alcobendas@tax.es","www.tax.es","FRANCISCO RODRIGUEZ MIRANDA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ASESORIA DE EMPRESAS - LABORAL CONTABLE - FISCAL Y JURIDICA.",40.52979004,-3.65666286
"TBF","CR FUENCARRAL (DE) 44 PORTAL 8, BAJO, LOCAL 5","28108","POLIGONO INDUSTRIAL","628011242","NO DISPONIBLE","victoria.garcia@thebarterfactory.es","www.thebarterfactory.es","VICTORIA GARCIA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PUBLICIDAD, AGENCIA MEDIOS Y VENTA DE VEHICULOS",40.51888227,-3.65470622
"TEBIS IBERIA","AV DOCTOR SEVERO OCHOA (DEL) 36 - 1","28100","PARQUE EMP. CASABLANCA","916624354","NO DISPONIBLE","info@tebis.es","www.tebis.com","FRANCISCO MORENO","","INFORMATICA","DISTRIBUCION SOFTWARE CAD/COM Y ASISTENCIA TÉCNICA Y FORMACIÓN",40.54326323,-3.65244556
"TECARTOP","PS VALDELASFUENTES (DE) 10 - PORTAL 12 4º A","28100","CASCO URBANO","656434466","NO DISPONIBLE","info@tecartop.com","www.Tecartop.com","RAUL RABADAN ENCINAR","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","TOPOGRAFIA",40.55063003,-3.65306281
"TECNICA 6000","CL REYES CATOLICOS (DE LOS) 6 - NAVE 410","28108","POLIGONO INDUSTRIAL","916622994","NO DISPONIBLE","t6000@t6000.es","www.t6000.es","GONZALO MONTAÑEZ","","INFORMATICA","DESARROLLO HARDWARE Y SOTFWARE",40.53652585,-3.65212849
"TECNOSER","CL JOSE ECHEGARAY (DE) 16 LOCAL 2-1","28100","PARQUE EMP. CASABLANCA","911998049","NO DISPONIBLE","info@tecnoser74.com","www.tecnoser74.com","DANIEL LOPEZ","","SERVICIOS DE SEGURIDAD","SEGURIDAD, SERVICIOS DE CONTROL Y CONSEJERIA,",40.54221237,-3.65464876
"TELCOMDIS TECNOLOGIA","CL ARAGONESES (DE LOS) 2 ACCESO 5 Y 6","28108","POLIGONO INDUSTRIAL","911033001","911033020","gonzalo.cortina@telcomdis.com","www.telcomsa.es","GONZALO CORTINA","","TELEFONIA, TELEFONIA MOVIL","COMERCIALIZACION AL POR MAYOR DE PRODUCTOS ELECTRONICOS DE GRAN CONSUMO",40.52357421,-3.66093000
"TELE-LAVAQUICK","CL VALGRANDE (DE) 21 - NAVE 5","28108","POLIGONO INDUSTRIAL","916616199","916616199","telelavaquick@hotmail.com","NO DISPONIBLE","MANUEL PARIS","","TINTORERIA Y PLANCHADO","LAVANDERIA INDUSTRIAL",40.53715916,-3.65156135
"TELEMAIL","CL SAN RAFAEL (DE) 10","28108","POLIGONO INDUSTRIAL","914907100","916615102","sminaya@telemail.es","www.telemail.es","SUSANA MINAYA GARCIA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING Y PUBLICIDAD DIRECTA",40.52569548,-3.65986882
"TELYNET","CL GRANJA (DE LA) 8 - 1º DERECHA","28108","POLIGONO INDUSTRIAL","916622128","916622143","mgomez@telynet.com","www.telynet.com","MILAGROS GOMEZ SALGADO","","INFORMATICA","INFORMATICA",40.53103135,-3.65565493
"TEMPERATURA Y CONTROL COMERCIAL","AV VALDELAPARRA (DE) 33","28108","POLIGONO INDUSTRIAL","916611534","916615354","nortega@tyccsa.es","www.tyccsa.es","NICANOR ORTEGA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION Y DISEÑO PRODUCTOS ELECTRONICOS",40.53903296,-3.64853432
"TENA","AV EUROPA (DE) 22 - 1º","28108","PARQUE EMP. MORALEJA","916578400","916578400","carlos.puentes@sca.com","NO DISPONIBLE","AITOR PERFECTO","","MAYORISTAS","COMERCIO AL POR MAYOR DE DERIVADOS DEL PAPEL",40.51418540,-3.65822986
"TENCOOK","CL REYES CATOLICOS (DE LOS) 6 NAVE 307","28108","POLIGONO INDUSTRIAL","626852779","NO DISPONIBLE","cristina@tencook.com","NO DISPONIBLE","CRISTINA LORING","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","CATERING",40.53652585,-3.65212849
"TENNANT SALES AND SERVICES","CL ARAGONESES (DE LOS) 11 - POSTERIOR","28108","POLIGONO INDUSTRIAL","900 900 150  /  91 490 46 72","NO DISPONIBLE","juanpablo.lomanto@tennantco.com","www.tennantco.com","JUAN PABLO LOMANZO","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","SOLUCIONES DE LIMPIEZA: BARREDORAS, RESTREGADORAS, EXTRACTORES, PULIDORAS, ASPIRADORAS, LUSTRADORAS Y EQUIPOS DE LIMPIEZA DE EXTERIORES",40.52334582,-3.66088613
"TENSATOR","AV INDUSTRIA (DE LA) 4 - EDIF-1, ESC-2, 2ºD","28108","POLIGONO INDUSTRIAL","914904148","NO DISPONIBLE","maribel.rodriguez@newvision.pt","www.newvision.es","MARIBEL RODRIGUEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","VENTA DE SISTEMAS INTELIGENTE DE ATENCION AL PUBLICO Y MAQUINAS AUTOSERVICIO",40.53543008,-3.64232167
"TERMOSOLAR PALMA SAETILLA","AV EUROPA (DE) 10","28108","PARQUE EMP. MORALEJA","916576460","916624020","webmail@acciona.es","www.acciona.es","NO DISPONIBLE","","DISTRIBUCION DE GAS Y ELECTRICIDAD, ENERGIAS ALTERNATIVAS","PRODUCCION DE ENERGIA TERMICA. CONSTRUCCION, EXPLOTACION, MANTENIMEINTO, CONSERVACION Y REPARACION",40.51943587,-3.65732812
"TEVA PHARMA","CL ANABEL SEGURA (DE) 11 EDIFICIO ALBATROS B 1ªPLANTA","28100","ARROYO DE LA VEGA","915359180","NO DISPONIBLE","recepcion@tevaes.com","www.tevapharma.es","LUIS DE PAZ","","FARMACIAS, ORTOPEDIAS","FABRICACION Y COMERCIALIZACION DE PRODUCTOS FARMACEUTICOS",40.53329719,-3.62708410
"TEVA, S.L.","CL VALPORTILLO II (DE) 14 - PLANTA 0","28108","POLIGONO INDUSTRIAL","914904552/953671082","NO DISPONIBLE","teva@grupoteva.com","www.grupoteva.com","GABRIEL DIAZ","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","INVESTIGACION Y DESARROLLO DE NUEVAS TECNOLOGIAS VIALES",40.53318462,-3.65565272
"TEYS","CL GRANJA (DE LA) 8","28108","POLIGONO INDUSTRIAL","911548080","NO DISPONIBLE","info@teys.eu","www.typsa.es","CAROLINA CARBALLO","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ESTUDIOS DE MERCADO",40.52717421,-3.65901049
"THE CANDY & TOY FACTORY","CR FUENCARRAL (DE) 44 -KM 3,500 EDIFICIO 7 LOFT 10 Y 11","28108","POLIGONO INDUSTRIAL","914903050","NO DISPONIBLE","info@candytoyfactory.com","www.candytoyfactory.com","PAULA LIZCANO","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","CARAMELOS AL POR MAYOR",40.51888227,-3.65470622
"THE IMPROVING CO.","AV INDUSTRIA (DE LA) 53","28108","POLIGONO INDUSTRIAL","911384562","NO DISPONIBLE","maria@theimproving.es","www.theimproving.es","MARIA","","ACADEMIAS, FORMACION. IDIOMAS. TRADUCCIONES TECNICAS","ACTIVIDADES EDUCATIVAS LUDICAS EN INGLES PARA COLEGIOS",40.53361781,-3.65620683
